state_name,county_name,trump,biden,other,population_2010,persons_under_5_years_percent_2014,persons_under_18_years_percent_2014,age_65_plus,female_persons_percent_2014,living_in_same_house_1_year__over_percent_20092013,foreign_born_persons_percent_20092013,non_english,edu_highschool,edu_batchelors,veterans_20092013,mean_travel_time_to_work_minutes_workers_age_16_20092013,housing_units_2014,homeownership_rate_20092013,housing_units_in_multiunit_structures_percent_20092013,median_value_of_owneroccupied_housing_units_20092013,households_20092013,persons_per_household_20092013,income,median_household_income_20092013,poverty,private_nonfarm_establishments_2013,private_nonfarm_employment__2013,private_nonfarm_employment_percent_change_20122013,nonemployer_establishments_2013,total_number_of_firms_2007,womenowned_firms_percent_2007,manufacturers_shipments_2007_1000,merchant_wholesaler_sales_2007_1000,retail_sales_2007_1000,retail_sales_per_capita_2007,accommodation_and_food_services_sales_2007_1000,building_permits_2014,land_area_in_square_miles_2010,density
Montana,Glacier County,1884,3610,145,13399.0,9.3,31.3,10.9,51.1,83.7,2.1,10.7,83.5,18.4,934.0,12.4,5327.0,59.5,15.4,80200.0,4194.0,3.1,15604.0,33519.0,33.7,248.0,2341.0,6.2,687.0,968.0,32.5,0.0,125194.0,106256.0,7956.0,37613.0,1.0,2995.94,4.5
Montana,Golden Valley County,414,78,11,884.0,4.7,20.2,24.5,48.7,84.4,0.3,0.6,88.6,20.3,70.0,27.0,479.0,79.3,0.7,89300.0,323.0,2.12,23508.0,39313.0,20.7,16.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,362.0,0.0,1175.34,0.8
Montana,Granite County,1419,638,45,3079.0,3.6,16.2,28.9,49.5,83.4,1.9,2.8,88.2,26.5,402.0,23.8,2789.0,76.1,4.3,200500.0,1473.0,2.07,26277.0,45236.0,15.1,111.0,524.0,8.9,298.0,425.0,15.1,0.0,0.0,23787.0,8239.0,2518.0,0.0,1727.42,1.8
Montana,Hill County,3957,2981,244,16096.0,8.5,27.0,14.1,49.6,88.0,1.6,6.2,91.6,22.6,1353.0,14.5,7217.0,67.8,16.7,122600.0,6139.0,2.58,21376.0,43726.0,18.9,536.0,5444.0,1.5,909.0,1197.0,28.7,0.0,190161.0,231140.0,14015.0,23819.0,3.0,2898.96,5.6
Montana,Jefferson County,5345,2625,221,11406.0,4.2,21.0,18.7,49.0,84.6,1.5,1.8,94.3,33.5,1397.0,21.1,5041.0,85.9,1.7,230100.0,4527.0,2.46,30397.0,60863.0,7.8,269.0,1686.0,0.4,979.0,757.0,0.0,0.0,0.0,39880.0,3584.0,7268.0,1.0,1656.26,6.9
Montana,Judith Basin County,1040,275,29,2072.0,3.7,18.8,22.5,47.9,91.1,0.8,3.3,93.4,29.7,242.0,19.0,1334.0,75.4,2.7,106800.0,879.0,2.32,24260.0,41932.0,12.4,59.0,177.0,12.7,197.0,315.0,0.0,0.0,4619.0,5468.0,2667.0,1270.0,0.0,1869.82,1.1
Montana,Lake County,9322,6916,388,28746.0,6.4,24.2,19.7,50.8,84.1,1.8,6.3,90.2,24.8,2885.0,21.0,16602.0,69.1,8.7,218600.0,11829.0,2.38,21521.0,38019.0,22.4,773.0,5251.0,2.5,2300.0,2630.0,0.0,119815.0,8713.0,276964.0,9855.0,34712.0,15.0,1490.15,19.3
Montana,Lewis and Clark County,21409,19743,1333,63395.0,5.9,21.8,16.2,50.8,83.6,1.5,3.6,94.7,37.5,6310.0,17.6,30594.0,72.3,18.9,203600.0,26555.0,2.35,28400.0,56243.0,10.4,2210.0,24645.0,4.3,5294.0,6373.0,24.9,0.0,199568.0,972926.0,16180.0,118555.0,338.0,3458.83,18.3
Montana,Liberty County,821,249,13,2339.0,5.7,21.2,19.8,52.4,92.2,4.0,25.4,75.5,20.6,143.0,16.9,1033.0,62.2,19.6,102800.0,847.0,2.53,25522.0,44493.0,21.0,67.0,334.0,-5.9,145.0,334.0,0.0,0.0,10500.0,15603.0,8673.0,771.0,0.0,1430.05,1.6
Montana,Lincoln County,8672,2835,240,19687.0,4.7,18.4,24.8,49.5,89.1,2.3,3.0,86.8,18.3,2506.0,18.2,11477.0,78.4,6.0,158200.0,8872.0,2.18,21719.0,33333.0,17.9,596.0,3820.0,1.3,1573.0,2394.0,0.0,0.0,12120.0,170563.0,9102.0,26474.0,3.0,3612.92,5.4
